x0,v0,V0,x0_scale,gamma,trajectory_type
0.291241,-1.71554,1.32001,1.47705,0.138179,oscillating
0.969468,0.100859,1.5448,0.7803,0.453132,converging
-1.17181,1.82956,1.80002,1.18889,0.297068,oscillating
-1.87794,-0.57436,2.1431,0.879849,0.205815,oscillating
-1.94299,-2.10416,1.96396,1.197,0.551,oscillating
0.71477,-0.474994,1.47801,1.14049,0.296813,converging
-0.545148,0.709334,1.34961,0.998518,0.216484,converging
-0.166763,-4.47652,1.70505,0.781897,0.154657,diverging
-0.161949,4.31228,0.780619,0.612452,0.102253,diverging
-0.354257,-2.95112,1.76643,1.09911,0.539988,oscillating
-0.878133,4.91511,2.12994,1.01843,0.286421,diverging
0.409473,1.55356,1.86599,0.967464,0.31646,converging
2.13421,2.43826,1.03216,0.783929,0.496006,diverging
1.73293,-1.80602,1.84136,0.894594,0.505493,converging
-0.236365,-0.819277,0.591803,1.83675,0.14451,oscillating
-0.183705,-0.320376,1.40872,0.904664,0.389098,converging
0.761464,-0.275907,1.44248,0.995324,0.300884,converging
-0.547774,-0.00059401,2.38833,1.41096,0.053509,oscillating
0.727259,2.61249,2.06006,0.872081,0.251711,diverging
1.16053,1.61032,1.60047,0.891345,0.457859,oscillating
-0.514004,0.145923,1.92023,0.451843,0.211563,converging
0.766951,3.79213,1.23005,0.909636,0.384287,diverging
-1.37316,2.38833,1.98676,0.96144,0.336502,oscillating
-2.16637,-1.12545,1.34712,1.24754,0.527003,oscillating
1.47737,1.1305,1.23631,0.863183,0.389034,oscillating
0.733644,-3.15567,1.68412,0.55594,0.295141,diverging
-0.103242,0.969544,0.833804,1.34944,0.891379,converging
0.132125,2.24501,2.32209,1.14816,0.111935,diverging
1.04237,-2.53826,1.2691,0.802279,0.417464,oscillating
-0.754117,-0.792005,2.00097,0.859547,0.211265,oscillating
-0.20213,1.63704,1.24904,0.73253,0.772633,converging
0.232668,-0.890699,2.07197,1.07986,0.335336,converging
1.06554,1.90967,2.40344,0.543234,0.319225,diverging
0.137538,5.08635,0.764414,1.29601,0.341102,diverging
-0.75749,4.6927,2.24818,0.951812,0.368746,diverging
-0.740977,-0.314461,1.50632,1.02578,0.437555,converging
-0.66998,-1.49034,1.38235,0.96224,0.202037,oscillating
1.27972,-4.56013,1.65433,0.743888,0.2858,diverging
0.73804,-1.30429,1.28353,0.425424,0.069026,diverging
0.647654,0.184089,1.89975,1.27015,0.498027,converging
0.417825,0.640404,1.79985,1.60206,0.298574,converging
0.0268487,-1.09442,1.41534,1.41159,0.346764,converging
0.103331,-3.61211,1.82208,1.17388,0.331923,diverging
0.123295,1.0856,1.30129,1.16777,0.259747,converging
-0.0499416,1.88167,1.01753,1.19512,0.258848,oscillating
0.615206,-1.02886,1.72633,0.640846,0.669044,converging
0.671276,-0.671165,2.31078,0.66274,0.255206,converging
0.153182,-1.96464,1.48255,0.670978,0.167199,oscillating
-1.52207,-0.546275,1.16113,0.794337,0.642185,converging
0.581951,-3.55765,1.74348,1.12158,0.624013,oscillating
-0.601811,-0.667514,1.6657,1.01183,0.322984,converging
0.664526,0.783727,1.17029,0.66783,0.209847,oscillating
-0.27844,-5.76891,1.72996,1.04649,0.317116,diverging
-1.87745,-1.06396,0.936786,1.27996,0.588136,oscillating
0.774278,-1.95011,2.03134,1.55843,0.263751,oscillating
-0.188543,-0.630744,1.39086,0.844972,0.38753,converging
-1.66931,-4.60572,1.71851,1.63479,0.217189,diverging
0.666009,2.02559,1.17664,0.575238,0.580459,oscillating
1.22465,1.73669,1.94378,1.09282,0.214069,oscillating
0.900104,-3.29906,1.41525,0.704445,0.296408,diverging
-0.783234,-2.38033,1.0661,1.09017,0.518023,oscillating
-0.731026,-1.73744,2.12715,1.106,0.511513,converging
-0.50434,-4.88582,1.48313,0.877386,0.224424,diverging
-1.42022,4.453,1.43353,0.748728,0.409149,diverging
-0.284694,3.29077,1.15707,1.06411,0.373911,diverging
-0.00474596,-3.32464,1.08392,1.2895,0.0607214,diverging
-0.595325,-0.518618,2.04448,0.60688,0.270281,converging
1.9473,-4.53707,1.70221,1.53303,0.414451,diverging
-1.06627,2.35802,1.38307,0.831977,0.301831,oscillating
0.0455743,1.79588,1.96353,1.08133,0.37586,converging
-0.317052,3.80789,1.2665,0.574747,0.405071,diverging
-1.02186,1.24231,1.84181,0.673266,0.965009,converging
-0.132584,1.9685,1.71363,0.430734,0.365858,converging
-0.989243,-0.514351,1.34967,0.781767,0.475509,converging
-2.86376,-1.93487,1.22256,0.463344,0.0386845,diverging
0.854734,-0.141166,1.70889,1.03675,0.207563,oscillating
-0.521853,0.66203,2.03615,0.912837,0.463186,converging
-1.07851,-2.2517,1.11627,0.708467,0.342425,diverging
-2.27551,1.45515,1.07405,1.06654,0.427254,converging
0.794226,-0.750318,1.7344,1.31678,0.456969,converging
0.637906,0.124144,1.54582,1.33465,0.33248,converging
0.804007,0.061238,1.99376,0.947883,0.332345,converging
1.3188,1.61915,1.04703,0.702361,0.414918,diverging
-0.237128,-0.154233,2.19122,0.779409,0.180642,converging
-0.239048,3.02246,1.38784,0.432061,0.178424,diverging
-0.370079,-0.906099,1.00582,1.3687,0.434657,converging
-0.762153,5.04564,2.55534,0.766914,0.303771,diverging
-0.448369,-3.17206,1.97316,1.00199,0.369561,diverging
-1.24842,-5.96806,1.50732,0.935343,0.139334,diverging
-0.976743,-0.647866,0.919974,1.11461,0.275261,oscillating
0.701518,1.71281,2.05731,0.71734,0.453491,converging
2.02571,0.948281,1.25971,0.933139,0.152453,diverging
2.08196,1.6847,0.926745,0.964522,0.377339,diverging
-0.318153,-0.18278,1.41067,1.55268,0.499608,converging
-0.717158,1.11212,2.37445,0.8926,0.806952,converging
0.409272,-1.18106,1.74413,0.708611,0.364099,converging
1.43636,-0.11715,2.46184,1.39766,0.37682,converging
1.02125,2.7642,0.947683,0.844593,0.343091,diverging
0.462504,-2.5647,0.492934,1.28024,0.636979,oscillating
-1.06969,0.795406,0.651389,1.13405,0.18791,oscillating
-0.267705,0.555669,1.31218,0.650871,0.35999,converging
0.502441,4.23817,1.08022,1.58485,0.351365,diverging
-1.35,-1.64289,1.35452,1.1274,0.325418,oscillating
-1.65972,-0.916853,1.48328,0.756329,0.980904,converging
-1.54026,-1.34646,1.62204,0.4656,0.126828,diverging
0.784622,-0.338371,1.313,0.894428,0.551154,converging
1.01449,-4.03752,0.777899,1.40771,0.455402,diverging
-0.78743,-1.26893,1.18819,1.00632,0.335733,oscillating
0.879566,2.6739,1.67269,1.11169,0.251754,diverging
0.543541,-4.78296,1.31528,1.22226,0.44071,diverging
0.201965,0.786929,1.22424,1.37131,0.469809,converging
-0.287245,2.15555,1.74433,1.17551,0.703211,converging
-2.16892,-5.30625,1.32458,0.934254,0.442231,diverging
-0.456922,-1.89624,1.43647,1.38638,0.37682,oscillating
-0.889214,1.08258,0.9541,1.29432,0.48287,converging
-0.609723,-1.03267,0.60166,0.806234,0.249204,oscillating
1.56777,-2.31725,1.03113,0.801082,0.0153584,diverging
0.168708,2.50657,1.12144,1.21959,0.19602,diverging
1.1912,-2.24703,1.69307,0.787979,0.336557,oscillating
-0.0921539,-5.04519,0.758042,1.27885,0.416515,diverging
-0.410641,2.84242,1.6651,1.14545,0.49829,oscillating
1.67726,1.73976,2.08749,1.9349,0.426506,oscillating
0.747481,-2.16642,1.19777,0.791902,0.546408,converging
-0.12308,0.611821,0.869937,0.822286,0.614119,converging
-1.08119,-0.295794,1.30027,0.572211,0.493612,converging
-0.190733,-4.15629,1.25886,1.21751,0.0644315,diverging
-0.511588,-1.45178,1.45645,1.36476,0.18919,oscillating
-0.320747,-1.96209,0.892559,0.833435,0.550689,oscillating
1.31616,1.12357,1.43,0.793041,0.134471,diverging
0.839181,3.48433,0.904746,0.998869,0.295149,diverging
0.298958,1.3329,0.80381,0.950611,0.348777,oscillating
-0.677117,-2.60006,2.1376,0.990223,0.546407,oscillating
-0.0477887,-0.4127,1.23166,1.03225,0.0692302,converging
-0.502053,-0.890632,1.42277,0.792724,0.246089,converging
-0.0892771,-1.42912,2.06912,0.881608,0.280623,converging
-0.098352,1.97114,1.09437,0.992735,0.56108,converging
-0.177495,-2.39831,1.58304,0.720327,0.446155,oscillating
-0.313441,0.41199,1.56156,0.955423,0.2597,converging
-1.34352,3.49132,1.77164,1.40545,0.401484,diverging
-0.39605,-0.861227,1.51657,1.45444,0.284694,converging
0.456154,-1.22422,1.2086,0.791695,0.421617,converging
0.115014,1.50226,1.53178,1.26245,0.317277,converging
0.724256,-1.49115,1.97712,1.0999,0.321111,converging
-0.250386,0.830421,1.42125,0.96509,0.381421,converging
-0.040496,0.330915,0.75419,1.2336,0.45883,converging
-1.16147,-0.931632,0.894973,1.08256,0.91515,converging
0.146296,-2.88832,2.14588,1.15878,0.0266912,diverging
1.10776,0.996302,2.42968,1.34237,0.573973,converging
-0.629738,-3.91747,1.56159,1.06773,0.0882911,diverging
-1.30915,4.60095,1.50087,1.3699,0.302054,diverging
-0.00797558,2.37573,1.35767,0.887893,0.288949,oscillating
0.373544,-2.41414,1.69455,0.848792,0.501823,converging
-1.06588,0.808407,2.02606,0.705921,0.573842,converging
1.42282,2.65155,1.04134,1.08295,0.431195,diverging
0.601394,0.143088,0.907804,1.07071,0.333118,converging
-0.00295003,3.3604,1.23024,0.859146,0.249404,diverging
-0.782067,-0.458384,1.35556,1.32661,0.0828629,oscillating
1.05713,-2.02709,1.56493,1.23163,0.0800498,diverging
0.212447,1.86721,2.22276,1.14918,0.177254,oscillating
0.862764,-5.79975,1.70161,0.739743,0.596117,diverging
-0.968518,4.02356,1.2743,0.777896,0.323356,diverging
